Interview #,Date,Name,Email,Store Name,Platform,Annual Revenue,Pain Score (1-10),Time Spent (hrs/week),Current Solution,Willing to Pay,Price Expected ($),Would Use?,Beta Interest,Status,Notes
1,,,,,Shopify,,,,,Yes,,,High,To Contact,
2,,,,,Shopify,,,,,Yes,,,High,To Contact,
3,,,,,Shopify,,,,,Yes,,,Medium,To Contact,
4,,,,,WooCommerce,,,,,Maybe,,,Medium,To Contact,
5,,,,,Shopify,,,,,Yes,,,High,To Contact,
6,,,,,Shopify,,,,,Maybe,,,Low,To Contact,
7,,,,,Shopify,,,,,Yes,,,High,To Contact,
8,,,,,Shopify,,,,,Yes,,,Medium,To Contact,
9,,,,,Shopify,,,,,Maybe,,,Medium,To Contact,
10,,,,,Shopify,,,,,Yes,,,High,To Contact,
11,,,,,Shopify,,,,,Yes,,,High,To Contact,
12,,,,,WooCommerce,,,,,Maybe,,,Medium,To Contact,
13,,,,,Shopify,,,,,Yes,,,High,To Contact,
14,,,,,Shopify,,,,,Yes,,,Medium,To Contact,
15,,,,,Shopify,,,,,Yes,,,High,To Contact,
16,,,,,Shopify,,,,,Maybe,,,Low,To Contact,
17,,,,,Shopify,,,,,Yes,,,High,To Contact,
18,,,,,Shopify,,,,,Yes,,,High,To Contact,
19,,,,,Shopify,,,,,Yes,,,Medium,To Contact,
20,,,,,Shopify,,,,,Yes,,,High,To Contact,
